20
12345;1234;01/10/2024;31/10/2024;54321;true
23456;5678;02/10/2024;17/10/2024;33445;true
34567;9101;03/10/2024;02/11/2024;54322;true
45678;1121;04/10/2024;19/10/2024;33446;true
56789;3141;05/10/2024;04/11/2024;54323;true
67890;5161;06/10/2024;21/10/2024;33447;true
78901;7181;07/10/2024;06/11/2024;54324;true
89012;9202;08/10/2024;23/10/2024;33448;true
90123;1222;09/10/2024;08/11/2024;54325;true
01234;1234;10/10/2024;09/11/2024;13579;true
12345;5678;11/10/2024;26/10/2024;44567;true
23456;9101;12/10/2024;11/11/2024;13580;true
34567;1121;13/10/2024;28/10/2024;44568;true
45678;3141;14/10/2024;13/11/2024;13581;true
56789;5161;15/10/2024;30/10/2024;44569;true
67890;7181;16/10/2024;15/11/2024;55670;false
78901;9202;17/10/2024;01/11/2024;44570;false
89012;1222;18/10/2024;17/11/2024;13583;false
90123;1234;19/10/2024;18/11/2024;11223;false
01234;5678;20/10/2024;04/11/2024;44567;false
